Year,Country,GDP (Current USD),Total Population,Life Expectancy,GDP/Capita,Area (km2),Population Density (/km2),Unemployment Rate (%)
1973,China,138544284709.00,881940000.00,61.00,157.00,9562950.00,94.00, -
1973,France,264429876252.00,53441264.00,73.00,4948.00,549086.00,98.00,3.00
1973,United Kingdom,192537971583.00,56194527.00,72.00,3426.00,243610.00,232.00,3.00
1973,India,84374541630.00,593058926.00,51.00,142.00,3287260.00,199.00, -
1973,Ireland,7490132549.00,3085950.00,72.00,2427.00,70280.00,45.00, -
1973,Italy,174913182331.00,54751406.00,72.00,3195.00,301340.00,186.00,6.00
1973,Mexico,55280000000.00,57280587.00,63.00,965.00,1964380.00,29.00, -
1973,Nigeria,15162871287.00,60110433.00,48.00,252.00,923770.00,66.00, -
1973,Netherlands,70924006306.00,13439322.00,74.00,5277.00,41530.00,398.00, -
1973,New Zealand,13024906080.00,2961300.00,72.00,4398.00,267710.00,11.00, -
1973,Thailand,10838587358.00,40164966.00,61.00,270.00,513120.00,79.00,0.00
1973,United States,1428549000000.00,211909000.00,72.00,6741.00,9629090.00,23.00,5.00
1974,Australia,88809137804.00,13723000.00,72.00,6472.00,7741220.00,2.00, -
1974,Brazil,105136007529.00,105069367.00,61.00,1001.00,8515770.00,13.00, -
1974,Canada,160408697648.00,22774087.00,73.00,7043.00,9984670.00,3.00,5.00
1974,China,144182133388.00,900350000.00,61.00,160.00,9562950.00,96.00, -
1974,France,285552373159.00,53882416.00,73.00,5300.00,549086.00,98.00,3.00
1974,United Kingdom,206131369799.00,56229974.00,72.00,3666.00,243610.00,232.00,3.00
1974,India,98198276857.00,607050255.00,52.00,162.00,3287260.00,204.00, -
1974,Ireland,7906317253.00,3137500.00,72.00,2520.00,70280.00,46.00, -
1974,Italy,198906210777.00,55110868.00,73.00,3609.00,301340.00,187.00,5.00
1974,Mexico,72000000000.00,59088193.00,64.00,1219.00,1964380.00,30.00, -
1974,Nigeria,24846641318.00,61673559.00,48.00,403.00,923770.00,68.00, -
1974,Netherlands,86129928027.00,13545056.00,75.00,6359.00,41530.00,401.00, -
1974,New Zealand,14069222284.00,3023700.00,72.00,4653.00,267710.00,11.00, -
1974,Thailand,13703000530.00,41259536.00,62.00,332.00,513120.00,81.00,0.00
1974,United States,1548825000000.00,213854000.00,72.00,7242.00,9629090.00,23.00,6.00
1975,Australia,97147343985.00,13893000.00,73.00,6993.00,7741220.00,2.00, -
1975,Brazil,123709376568.00,107612100.00,62.00,1150.00,8515770.00,13.00, -
1975,Canada,173834029788.00,23209000.00,73.00,7490.00,9984670.00,3.00,7.00
1975,China,163431551780.00,916395000.00,61.00,178.00,9562950.00,98.00, -
1975,France,360832186018.00,54252574.00,73.00,6651.00,549086.00,99.00,4.00
1975,United Kingdom,241756637168.00,56225800.00,73.00,4300.00,243610.00,232.00,4.00
1975,India,97159222024.00,621301720.00,52.00,156.00,3287260.00,209.00, -
1975,Ireland,9495166028.00,3189550.00,73.00,2977.00,70280.00,46.00, -
1975,Italy,226944777284.00,55441001.00,73.00,4093.00,301340.00,189.00,6.00
1975,Mexico,88000000000.00,60872399.00,64.00,1446.00,1964380.00,31.00, -
1975,Nigeria,27778934625.00,63373572.00,49.00,438.00,923770.00,70.00, -
1975,Netherlands,98970041042.00,13666335.00,74.00,7242.00,41530.00,405.00,6.00
1975,New Zealand,12995256381.00,3083100.00,72.00,4215.00,267710.00,12.00, -
1975,Thailand,14882747955.00,42334954.00,62.00,352.00,513120.00,83.00,0.00
1975,United States,1688923000000.00,215973000.00,73.00,7820.00,9629090.00,24.00,9.00
1976,Australia,104894743477.00,14033000.00,73.00,7475.00,7741220.00,2.00, -
1976,Brazil,152678020453.00,110213082.00,62.00,1385.00,8515770.00,13.00,2.00
1976,Canada,206575564402.00,23518000.00,74.00,8784.00,9984670.00,3.00,7.00
1976,China,153940455342.00,930685000.00,60.00,165.00,9562950.00,99.00, -
1976,France,372319038514.00,54541493.00,73.00,6826.00,549086.00,100.00,4.00
1976,United Kingdom,232614555256.00,56211968.00,73.00,4138.00,243610.00,232.00,6.00
1976,India,101346972434.00,635771734.00,53.00,159.00,3287260.00,214.00, -
1976,Ireland,9465078404.00,3238050.00,73.00,2923.00,70280.00,47.00, -
1976,Italy,223976030937.00,55718260.00,73.00,4020.00,301340.00,189.00,7.00
1976,Mexico,89025974026.00,62623763.00,65.00,1422.00,1964380.00,32.00, -
1976,Nigeria,36308883249.00,65226229.00,50.00,557.00,923770.00,72.00, -
1976,Netherlands,107775403067.00,13774037.00,75.00,7825.00,41530.00,408.00, -
1976,New Zealand,13612626656.00,3110500.00,73.00,4376.00,267710.00,12.00, -
1976,Thailand,16985211146.00,43386841.00,63.00,391.00,513120.00,85.00,1.00
1976,United States,1877587000000.00,218035000.00,73.00,8611.00,9629090.00,24.00,8.00
1977,Australia,110174351916.00,14192000.00,73.00,7763.00,7741220.00,2.00, -
1977,Brazil,176171284312.00,112867867.00,63.00,1561.00,8515770.00,14.00,2.00
1977,Canada,211612156935.00,23796000.00,74.00,8893.00,9984670.00,3.00,8.00
1977,China,174938098827.00,943455000.00,62.00,185.00,9562950.00,100.00, -
1977,France,410279486494.00,54764462.00,74.00,7492.00,549086.00,100.00,5.00
1977,United Kingdom,263066457352.00,56193492.00,73.00,4681.00,243610.00,232.00,6.00
1977,India,119866746574.00,650485030.00,54.00,184.00,3287260.00,219.00, -
1977,Ireland,11261811100.00,3282200.00,73.00,3431.00,70280.00,48.00, -
1977,Italy,256746610489.00,55955411.00,73.00,4588.00,301340.00,190.00, -
1977,Mexico,81814159292.00,64345884.00,66.00,1271.00,1964380.00,33.00, -
1977,Nigeria,36035407725.00,67215805.00,50.00,536.00,923770.00,74.00, -
1977,Netherlands,125395875999.00,13856185.00,75.00,9050.00,41530.00,410.00,6.00
1977,New Zealand,15470524341.00,3120200.00,72.00,4958.00,267710.00,12.00, -
1977,Thailand,19779315170.00,44416010.00,63.00,445.00,513120.00,87.00,1.00
1977,United States,2085951000000.00,220239000.00,73.00,9471.00,9629090.00,24.00,7.00
1978,Australia,118309271374.00,14358000.00,74.00,8240.00,7741220.00,2.00, -
1978,Brazil,200800891870.00,115577669.00,63.00,1737.00,8515770.00,14.00,2.00
1978,Canada,218632867450.00,24036000.00,74.00,9096.00,9984670.00,3.00,8.00
1978,China,149540752829.00,956165000.00,62.00,156.00,9562950.00,102.00,5.00
1978,France,506707848837.00,54947975.00,74.00,9222.00,549086.00,100.00,5.00
1978,United Kingdom,335883029722.00,56196504.00,73.00,5977.00,243610.00,232.00,6.00
1978,India,135468782809.00,665502284.00,54.00,204.00,3287260.00,224.00, -
1978,Ireland,14665538508.00,3329100.00,73.00,4405.00,70280.00,48.00, -
1978,Italy,314019078257.00,56155143.00,74.00,5592.00,301340.00,191.00,7.00
1978,Mexico,102500000000.00,66039488.00,66.00,1552.00,1964380.00,34.00, -
1978,Nigeria,36527862209.00,69293550.00,51.00,527.00,923770.00,76.00, -
1978,Netherlands,153870462416.00,13941700.00,75.00,11037.00,41530.00,413.00, -
1978,New Zealand,18614130435.00,3121200.00,73.00,5964.00,267710.00,12.00, -
1978,Thailand,24006570178.00,45423436.00,64.00,529.00,513120.00,89.00,1.00
1978,United States,2356571000000.00,222585000.00,74.00,10587.00,9629090.00,24.00,6.00
1979,Australia,134679086675.00,14514000.00,74.00,9279.00,7741220.00,2.00,6.00
1979,Brazil,224969488835.00,118342626.00,63.00,1901.00,8515770.00,14.00,3.00
1979,Canada,243072102185.00,24277000.00,75.00,10012.00,9984670.00,3.00,8.00
1979,China,178280594413.00,969005000.00,63.00,184.00,9562950.00,103.00,5.00
1979,France,613953129818.00,55130594.00,74.00,11136.00,549086.00,101.00,6.00
1979,United Kingdom,438994070309.00,56246951.00,73.00,7805.00,243610.00,232.00,5.00
1979,India,150950826964.00,680915804.00,55.00,222.00,3287260.00,229.00, -
1979,Ireland,18341273856.00,3373750.00,73.00,5436.00,70280.00,49.00, -
1979,Italy,392378584945.00,56317749.00,74.00,6967.00,301340.00,191.00,8.00
1979,Mexico,134561403509.00,67709689.00,67.00,1987.00,1964380.00,35.00, -
1979,Nigeria,47259911894.00,71391290.00,51.00,662.00,923770.00,78.00, -
1979,Netherlands,177376289135.00,14038270.00,76.00,12635.00,41530.00,416.00,6.00
1979,New Zealand,20580987679.00,3109000.00,73.00,6620.00,267710.00,12.00, -
1979,Thailand,27371699083.00,46412307.00,64.00,590.00,513120.00,91.00,1.00
1979,United States,2632143000000.00,225055000.00,74.00,11696.00,9629090.00,25.00,6.00
1980,Australia,149738161560.00,14692000.00,75.00,10192.00,7741220.00,2.00,6.00
1980,Brazil,235024598983.00,121159761.00,64.00,1940.00,8515770.00,14.00, -
1980,Canada,273853826377.00,24593000.00,75.00,11135.00,9984670.00,3.00,8.00
1980,China,191149211575.00,981235000.00,64.00,195.00,9562950.00,105.00,5.00
1980,France,701288419745.00,55340782.00,75.00,12672.00,549086.00,101.00,6.00
1980,United Kingdom,564947710899.00,56314216.00,74.00,10032.00,243610.00,233.00,7.00
1980,India,183839864649.00,696783517.00,55.00,264.00,3287260.00,234.00, -
1980,Ireland,21773901764.00,3412800.00,74.00,6380.00,70280.00,50.00, -
1980,Italy,475682506444.00,56433883.00,74.00,8429.00,301340.00,192.00,8.00
1980,Mexico,205139086957.00,69360871.00,67.00,2958.00,1964380.00,36.00, -
1980,Nigeria,64201788123.00,73460724.00,52.00,874.00,923770.00,81.00, -
1980,Netherlands,192661371425.00,14149800.00,76.00,13616.00,41530.00,419.00, -
1980,New Zealand,23149971048.00,3112900.00,73.00,7437.00,267710.00,12.00, -
1980,Thailand,32353440727.00,47385323.00,65.00,683.00,513120.00,93.00,1.00
1980,United States,2862505000000.00,227225000.00,74.00,12598.00,9629090.00,25.00,7.00
1981,Australia,176599326599.00,14927000.00,75.00,11831.00,7741220.00,2.00,6.00
1981,Brazil,263561088977.00,124030908.00,64.00,2125.00,8515770.00,15.00,4.00
1981,Canada,306214863625.00,24900000.00,75.00,12298.00,9984670.00,3.00,8.00
1981,China,195866382433.00,993885000.00,64.00,197.00,9562950.00,106.00,4.00
1981,France,615552202776.00,55585824.00,75.00,11074.00,549086.00,102.00,8.00
1981,United Kingdom,540765675241.00,56333829.00,74.00,9599.00,243610.00,233.00,10.00
1981,India,190909548790.00,713118032.00,56.00,268.00,3287260.00,240.00, -
1981,Ireland,20694944733.00,3453000.00,74.00,5993.00,70280.00,50.00, -
1981,Italy,429282143246.00,56501675.00,74.00,7598.00,301340.00,192.00, -
1981,Mexico,263959336735.00,70992195.00,68.00,3718.00,1964380.00,37.00, -
1981,Nigeria,164475209515.00,75482552.00,52.00,2179.00,923770.00,83.00, -
1981,Netherlands,162039376225.00,14247208.00,76.00,11373.00,41530.00,422.00,8.00
1981,New Zealand,24167846141.00,3124900.00,74.00,7734.00,267710.00,12.00, -
1981,Thailand,34846107862.00,48337503.00,65.00,721.00,513120.00,95.00,1.00
1981,United States,3210956000000.00,229466000.00,74.00,13993.00,9629090.00,25.00,8.00
1982,Australia,193721725698.00,15178000.00,75.00,12763.00,7741220.00,2.00,7.00
1982,Brazil,281682304161.00,126947365.00,65.00,2219.00,8515770.00,15.00,5.00
1982,Canada,313506525087.00,25202000.00,76.00,12440.00,9984670.00,3.00,11.00
